Authors,Title,Year,Description of Reuslts,Pro/Con
"Zheng, et al.",Doubly Robust and Efficient Estimation of Marginal Structural Models for the Hazard Function,2016,Showed that the TMLE for MSM for a hazard function has relatively superior performance. The bias reduction over a misspecified IPTW or Gcomp estimator is clear in the simulation studies even for a moderate sample size. ,Pro
"Schnitzer, et al.",Double robust and efficient estimation of a prognostic model for events in the presence of dependent censoring ,2016,"This study demonstrated that even when the analyst is ignorant of the true data generating form, TMLE with Super Learner can perform about as well as IPCW, SAR, or TMLE with correct parametric model specification. ",Pro
"Kreif, et al.",Misspecification: a comparison of targeted maximum likelihood estimation with bias-corrected matching.,2014,"Examined the relative performance of TMLE, estimating equation and  matching estimators and showed superior performance of TMLE when the outcome regression is misspecified. ",Pro
"Schnitzer, et al.",Effect of breastfeeding on gastrointestinal infection in infants: A targeted maximum likelihood approach for clustered longitudinal data,2014,"Compared with IPTW and G-comp, under the plausible scenario of being given transformed versions of the confounders, only TMLE with Super Learner was able to unbiasedly estimate the parameter of interest.",Pro
Gruber and van der Laan,An Application of Targeted Maximum Likelihood Estimation to the Meta-Analysis of Safety Data,2013,"Reported Superior of both TMLE and A-IPTW to misspecified parametric models, but the data-generating distributions used resulted in ittle difference between the semi-parametric approaches.",Neutral
"Lendle, et al.",Targeted maximum likelihood estimation in safety analysis,2013, Showed superior performance of TMLE and C-TMLE relative to A-IPTW estimators in the context of  positivity violations.,Pro
Díaz and van der Laan,Targeted Data Adaptive Estimation of the Causal Dose Response Curve,2013,"Showed relatively superior performance of CV-TMLE relative to CV-AIPTW estimators, especially in the presence of empirical violations of the positivity assumption ",Pro
"Schnitzer, et al.",Targeted maximum likelihood estimation for marginal time-dependent treatment effects under density misspecification,2013,"In the simulation study, TMLE did not produce a reduction in finite-sample bias or variance for correctly specified densities compared with the G-computation substitution estimator. But it had much better performance than G-comp when outcome model was misspecified.",Neutral
" 
 		

Peterson, et al.
",Diagnosing and responding to violations in the positivity assumption,2012,"Showed  superior performance of TMLE relative to misspecified  parametric models, comparing with A-IPTW, IPTW and G-comp.",Pro
van der Laan and Gruber,Targeted Minimum Loss Based Estimation of Causal Effects of Multiple Time Point Interventions,2012,"In the setting of multiple time point interventions, showed TMLE outperformed IPTW and MLE estimators.
",Pro
"Porter, et al.",The relative performance of targeted maximum likelihood estimators,2011,"Showed relatively superior performance of C-TMLE relative to A-IPTW estimators particularly when there are covariates that are strongly associated with the missingness, while while being weakly or not at all associated with the outcome.",Pro
"Wang, et al.",Finding Quantitative Trait Loci Genes with Collaborative Targeted Maximum Likelihood Learning,2011,"Based on actual genetic data, results suggested greateer robustness of findings using C-TMLE relative to parametric approaches for high throughput genetic data.",Pro
Muñoz and van der Laan,Population Intervention Causal Effects Based on Stochastic Interventions,2011,"Paper focused on new estimators for stochastic (e.g., shift) interventions relevant to estimating causal effects of continuous interentions.   In their simulation, they did not observe significant differences between the TMLE and the A‐IPTW.",Neutral
Gruber and van der Laan,An application of collaborative targeted maximum likelihood estimation in causal inference and genomics,2010,Showed more robust performance in high-dimensional simulations comparing TMLE to estimating equation approaches (AIPTW),Pro
Stitelman and van der Laan,Collaborative Targeted Maximum Likelihood for Time to Event Data,2010,"The results show that, compared with TMLE, IPTW, AIPTW, the C-TMLE method does as least as well as the best estimator under every scenario and, in many of the more realistic scenarios, behaves much better than the next best estimator in terms of both bias and variance.",Pro
Moore and van der Laan,Covariate adjustment in randomized trials with binary outcomes: targeted maximum likelihood estimation,2009,"Demonstrated how use of covariate information in randomized clinical trials could using the tmle framework results in improved performance, without bias, relative to standard methods",Pro
Rose and van der Laan,Simple Optimal Weighting of Cases and Controls in Case-Control Studies,2008,IPTW method for causal parameter estimation was outperformed in conditions similar to a practical setting by the new case-control weighted TMLE methodology,Pro
